"censusdate","month","day","year","treatment","plot","stake","species","sex","hfl","wgt","tag","ltag"
1977-07-16,7,16,1977,"control",1,27,"PF","M",14,NA,"0","0"
1977-07-16,7,16,1977,"control",1,36,"DM","M",37,NA,"0","0"
1977-07-16,7,16,1977,"control",1,42,"DM","F",34,NA,"0","0"
1977-07-16,7,16,1977,"control",2,25,"DM","F",37,NA,"0","0"
1977-07-16,7,16,1977,"control",2,31,"PE","F",NA,NA,"0","0"
1977-07-16,7,16,1977,"control",2,73,"PP","M",22,NA,"0","0"
1977-07-16,7,16,1977,"control",3,26,"DM","M",35,NA,"0","0"
1977-07-16,7,16,1977,"control",3,55,"DM","M",35,NA,"0","0"
1977-07-16,7,16,1977,"control",3,72,"DS","F",48,NA,"0","0"
1977-07-16,7,16,1977,"control",4,66,"DM","F",36,NA,"0","0"
1977-07-16,7,16,1977,"control",4,76,"PF",NA,NA,NA,"0","0"
1977-07-16,7,16,1977,"control",5,52,"DS","F",53,NA,"0","0"
1977-07-16,7,16,1977,"control",6,46,"PF","F",20,NA,"0","0"
1977-07-16,7,16,1977,"control",6,56,"DM","F",36,NA,"0","0"
1977-07-16,7,16,1977,"control",7,25,"DM","M",36,NA,"0","0"
1977-07-16,7,16,1977,"control",7,53,"DM","M",38,NA,"0","0"
1977-07-16,7,16,1977,"control",8,55,"DM",NA,NA,NA,"0","0"
1977-07-16,7,17,1977,"control",9,35,"DM","M",35,NA,"0","0"
1977-07-16,7,17,1977,"control",10,54,"DS","F",52,NA,"0","0"
1977-07-16,7,17,1977,"control",10,57,"DM","F",35,NA,"0","0"
1977-07-16,7,17,1977,"control",11,14,"DS","F",48,NA,"0","0"
1977-07-16,7,17,1977,"control",11,45,"DM","M",38,NA,"0","0"
1977-07-16,7,17,1977,"control",11,51,"PP","M",NA,NA,"0","0"
1977-07-16,7,17,1977,"control",11,62,"DM","F",36,NA,"0","0"
1977-07-16,7,17,1977,"control",11,76,"DM","F",35,NA,"0","0"
1977-07-16,7,17,1977,"control",11,77,"DM","F",36,NA,"0","0"
1977-07-16,7,18,1977,"control",12,24,"PP","F",17,NA,"0","0"
1977-07-16,7,18,1977,"control",12,34,"DM","F",26,NA,"0","0"
1977-07-16,7,18,1977,"control",12,62,"DS","M",45,NA,"0","0"
1977-07-16,7,17,1977,"control",13,24,"DM","M",36,NA,"0","0"
1977-07-16,7,17,1977,"control",13,66,"DM","F",38,NA,"0","0"
1977-07-16,7,17,1977,"control",14,15,"DM","F",34,NA,"0","0"
1977-07-16,7,17,1977,"control",15,36,"DM","M",31,NA,"0","0"
1977-07-16,7,17,1977,"control",15,43,"DM","M",36,NA,"0","0"
1977-07-16,7,17,1977,"control",15,54,"DM","F",37,NA,"0","0"
